trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.5, 'e': 0.6910420456700839}",25,10,-141.4421322828526,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 3}",1
125,False,"{'a': 0.5, 'e': 0.6889689195330736}",30,10,-113.17485066445578,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.6869020127744744}",25,6,-72.92534363765903,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.684841306736151}",25,0,-65.30340666624332,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.6827867828159425}",20,0,-91.2858047421953,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.6807384224674946}",25,0,-38.65852183382822,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.6786962072000922}",30,0,-103.02840066627815,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.6766601185784918}",20,0,-18.41320732681105,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.6746301382227564}",20,0,-120.92422102447158,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.6726062478080882}",20,13,-0.2879819628379354,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.6705884290646639}",25,14,-54.74196327135051,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.6685766637774699}",20,0,-19.491803959749564,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.6665709337861374}",20,0,-29.749700803849336,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.664571220984779}",25,10,-92.84885624601884,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.6625775073218247}",25,7,-127.96030393568427,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 3}",1
139,False,"{'a': 0.5, 'e': 0.6605897747998593}",25,18,-1.0356370615372892,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.6586080054754596}",30,0,-39.88034065928886,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.6566321814590332}",20,0,-58.79881565855307,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.6546622849146562}",25,8,-27.963912561719987,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.6526982980599122}",25,0,-5.911995278664504,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.6507402031657324}",20,14,5.610097234316317,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.6487879825562353}",25,0,-170.1557836853403,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.6468416186085666}",20,0,-69.79178123924504,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.6449010937527409}",30,7,-55.85444016151813,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.6429663904714826}",20,0,-49.785803455707914,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.6410374913000682}",30,0,-86.41607292034581,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.639114378826168}",20,0,-89.55911632793637,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.6371970356896894}",30,6,-12.707530927399848,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.6352854445826204}",20,0,-111.02706380632463,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.6333795882488725}",30,0,-34.11653206605836,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.6314794494841259}",20,0,-75.81283641987959,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.6295850111356736}",20,0,-29.428939164624953,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.6276962561022665}",20,0,-135.16522790549945,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
